DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              wlm1_offset               wlm2_offset               wlm4_offset               
2021-01-02                15:56:05.341              1.66395071                39.934817                 2.66395071                1609602965.341            0                         963                       1.3999309140E+02          4.4998527527E+01          3.4687500000E+01          4.5133293152E+01          4.4995628357E+01          2.0000000000E+00          0.0000000000E+00          2.5091558914E+04          1.0000000000E+00          1.8745306631E+00          1.8775160789E+00          4.0780628825E+02          4.0857327290E+02          1.2115717610E-01          1.5632232141E-01          -9.8493078342E-03         -1.8178953050E-03         4.9468591781E-03          
2021-01-02                15:56:06.257              1.66396132                39.935072                 2.66396132                1609602966.258            0                         963                       1.3999942017E+02          4.4998527527E+01          3.4687500000E+01          4.5133293152E+01          4.4995628357E+01          1.0000000000E+00          0.0000000000E+00          2.5092070312E+04          1.0000000000E+00          1.8745306631E+00          1.8775160789E+00          4.0784135057E+02          4.0857327290E+02          1.2115717610E-01          1.5632232141E-01          -9.8393078342E-03         -1.8178953050E-03         4.9468591781E-03          
2021-01-02                15:56:06.760              1.66396714                39.935211                 2.66396714                1609602966.761            0                         963                       1.3999942017E+02          4.4998527527E+01          3.4687500000E+01          4.5133293152E+01          4.4995628357E+01          3.0000000000E+00          0.0000000000E+00          2.5092070312E+04          1.0000000000E+00          1.8745306631E+00          1.8774095997E+00          4.0784135057E+02          4.0860678504E+02          1.1998225104E-01          1.5481226101E-01          -9.8393078342E-03         -1.8178953050E-03         4.9568591781E-03          
2021-01-02                15:56:08.194              1.66398373                39.935609                 2.66398373                1609602968.194            0                         963                       1.4000663414E+02          4.4998527527E+01          3.4687500000E+01          4.5133293152E+01          4.4995628357E+01          2.0000000000E+00          0.0000000000E+00          2.5095713729E+04          1.0000000000E+00          1.8751475896E+00          1.8774095997E+00          4.0784135057E+02          4.0860678504E+02          1.1998225104E-01          1.5481226101E-01          -9.8314549199E-03         -1.8192829647E-03         4.9568591781E-03          
2021-01-02                15:56:09.115              1.66399439                39.935865                 2.66399439                1609602969.115            0                         963                       1.4000343795E+02          4.4998450811E+01          3.4687500000E+01          4.5133262466E+01          4.4995520955E+01          1.0000000000E+00          0.0000000000E+00          2.5096025509E+04          1.0000000000E+00          1.8751475896E+00          1.8774095997E+00          4.0785812185E+02          4.0860678504E+02          1.1998225104E-01          1.5481226101E-01          -9.8414549199E-03         -1.8192829647E-03         4.9568591781E-03          
2021-01-02                15:56:09.621              1.66400024                39.936006                 2.66400024                1609602969.621            0                         963                       1.4000016785E+02          4.4998374939E+01          3.4687500000E+01          4.5133232117E+01          4.4995414734E+01          3.0000000000E+00          0.0000000000E+00          2.5095519531E+04          1.0000000000E+00          1.8751475896E+00          1.8780248052E+00          4.0785812185E+02          4.0862287852E+02          1.2093404941E-01          1.5603555891E-01          -9.8414549199E-03         -1.8192829647E-03         4.9468591781E-03          
2021-01-02                15:56:11.059              1.66401690                39.936406                 2.66401690                1609602971.060            0                         963                       1.4000134972E+02          4.4998374939E+01          3.4687500000E+01          4.5133232117E+01          4.4995414734E+01          2.0000000000E+00          0.0000000000E+00          2.5095965416E+04          1.0000000000E+00          1.8744678552E+00          1.8780248052E+00          4.0785812185E+02          4.0862287852E+02          1.2093404941E-01          1.5603555891E-01          -9.8476155334E-03         -1.8092829647E-03         4.9468591781E-03          
2021-01-02                15:56:11.987              1.66402764                39.936663                 2.66402764                1609602971.988            0                         963                       1.3999878376E+02          4.4998374939E+01          3.4687500000E+01          4.5133232117E+01          4.4995414734E+01          1.0000000000E+00          0.0000000000E+00          2.5094839024E+04          1.0000000000E+00          1.8744678552E+00          1.8780248052E+00          4.0782591345E+02          4.0862287852E+02          1.2093404941E-01          1.5603555891E-01          -9.8576155334E-03         -1.8092829647E-03         4.9468591781E-03          
2021-01-02                15:56:12.500              1.66403356                39.936806                 2.66403356                1609602972.500            0                         963                       1.3999748230E+02          4.4998374939E+01          3.4687500000E+01          4.5133232117E+01          4.4995414734E+01          3.0000000000E+00          0.0000000000E+00          2.5094191406E+04          1.0000000000E+00          1.8744678552E+00          1.8773477534E+00          4.0782591345E+02          4.0859160026E+02          1.2029386377E-01          1.5521276921E-01          -9.8576155334E-03         -1.8092829647E-03         4.9568591781E-03          
2021-01-02                15:56:13.927              1.66405009                39.937202                 2.66405009                1609602973.928            0                         963                       1.3999976086E+02          4.4998327790E+01          3.4687500000E+01          4.5133137819E+01          4.4995473670E+01          2.0000000000E+00          0.0000000000E+00          2.5094725157E+04          1.0000000000E+00          1.8748659153E+00          1.8773477534E+00          4.0782591345E+02          4.0859160026E+02          1.2029386377E-01          1.5521276921E-01          -9.8575030313E-03         -1.7992829647E-03         4.9568591781E-03          
