DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              wlm1_offset               wlm2_offset               wlm4_offset               
2021-01-03                05:57:26.721              2.24822595                53.957423                 3.24822595                1609653446.722            0                         963                       1.3999919525E+02          4.4998893738E+01          3.4500000000E+01          4.5134666443E+01          4.4997947693E+01          1.0000000000E+00          0.0000000000E+00          2.5085670084E+04          1.0000000000E+00          1.9271068221E+00          1.9295493421E+00          4.1775016259E+02          4.1864224062E+02          1.1172551431E-01          1.4419715013E-01          -9.9894202757E-03         -1.8024227022E-03         4.9159396541E-03          
2021-01-03                05:57:27.227              2.24823181                53.957563                 3.24823181                1609653447.228            0                         963                       1.3999906921E+02          4.4998893738E+01          3.4500000000E+01          4.5134666443E+01          4.4997947693E+01          3.0000000000E+00          0.0000000000E+00          2.5085435547E+04          1.0000000000E+00          1.9271068221E+00          1.9298516679E+00          4.1775016259E+02          4.1847728140E+02          1.1193270723E-01          1.4446359273E-01          -9.9894202757E-03         -1.8024227022E-03         4.9059396541E-03          
2021-01-03                05:57:28.638              2.24824814                53.957955                 3.24824814                1609653448.639            0                         963                       1.4000083084E+02          4.4998916989E+01          3.4442791005E+01          4.5134681944E+01          4.4997963194E+01          2.0000000000E+00          0.0000000000E+00          2.5086529194E+04          1.0000000000E+00          1.9274767815E+00          1.9298516679E+00          4.1775016259E+02          4.1847728140E+02          1.1193270723E-01          1.4446359273E-01          -9.9994202757E-03         -1.7947250912E-03         4.9059396541E-03          
2021-01-03                05:57:29.546              2.24825865                53.958207                 3.24825865                1609653449.547            0                         963                       1.3999678040E+02          4.4999168396E+01          3.4500000000E+01          4.5134849548E+01          4.4998130798E+01          1.0000000000E+00          0.0000000000E+00          2.5084880859E+04          1.0000000000E+00          1.9274767815E+00          1.9298516679E+00          4.1754076767E+02          4.1847728140E+02          1.1193270723E-01          1.4446359273E-01          -1.0000640011E-02         -1.7947250912E-03         4.9059396541E-03          
2021-01-03                05:57:30.048              2.24826444                53.958347                 3.24826444                1609653450.048            0                         963                       1.3999678040E+02          4.4999168396E+01          3.4500000000E+01          4.5134849548E+01          4.4998130798E+01          3.0000000000E+00          0.0000000000E+00          2.5084880859E+04          1.0000000000E+00          1.9274767815E+00          1.9302114639E+00          4.1754076767E+02          4.1826469205E+02          1.1085575306E-01          1.4307862982E-01          -1.0000640011E-02         -1.7947250912E-03         4.9159396541E-03          
2021-01-03                05:57:31.473              2.24828095                53.958743                 3.24828095                1609653451.474            0                         963                       1.4000261926E+02          4.4999168396E+01          3.4485119048E+01          4.5134849548E+01          4.4998130798E+01          2.0000000000E+00          0.0000000000E+00          2.5086254826E+04          1.0000000000E+00          1.9279003277E+00          1.9302114639E+00          4.1754076767E+02          4.1826469205E+02          1.1085575306E-01          1.4307862982E-01          -9.9906400114E-03         -1.7847250912E-03         4.9159396541E-03          
2021-01-03                05:57:32.381              2.24829146                53.958995                 3.24829146                1609653452.382            0                         963                       1.3999879456E+02          4.4999168396E+01          3.4500000000E+01          4.5134849548E+01          4.4998130798E+01          1.0000000000E+00          0.0000000000E+00          2.5085748047E+04          1.0000000000E+00          1.9279003277E+00          1.9302114639E+00          4.1719351407E+02          4.1826469205E+02          1.1085575306E-01          1.4307862982E-01          -9.9806400114E-03         -1.7847250912E-03         4.9159396541E-03          
2021-01-03                05:57:32.888              2.24829731                53.959136                 3.24829731                1609653452.888            0                         963                       1.3999879456E+02          4.4999168396E+01          3.4500000000E+01          4.5134849548E+01          4.4998130798E+01          3.0000000000E+00          0.0000000000E+00          2.5085748047E+04          1.0000000000E+00          1.9279003277E+00          1.9306461368E+00          4.1719351407E+02          4.1791961989E+02          1.1278895832E-01          1.4556466290E-01          -9.9806400114E-03         -1.7847250912E-03         4.9159396541E-03          
2021-01-03                05:57:34.311              2.24831378                53.959531                 3.24831378                1609653454.311            0                         963                       1.4000156830E+02          4.4999194759E+01          3.4500000000E+01          4.5134897002E+01          4.4998162434E+01          2.0000000000E+00          0.0000000000E+00          2.5086695077E+04          1.0000000000E+00          1.9282428513E+00          1.9306461368E+00          4.1719351407E+02          4.1791961989E+02          1.1278895832E-01          1.4556466290E-01          -9.9706400114E-03         -1.7947250912E-03         4.9159396541E-03          
2021-01-03                05:57:35.232              2.24832444                53.959787                 3.24832444                1609653455.232            0                         963                       1.3999629211E+02          4.4999320984E+01          3.4500000000E+01          4.5135124207E+01          4.4998313904E+01          1.0000000000E+00          0.0000000000E+00          2.5085076172E+04          1.0000000000E+00          1.9282428513E+00          1.9306461368E+00          4.1688489375E+02          4.1791961989E+02          1.1278895832E-01          1.4556466290E-01          -9.9606400114E-03         -1.7947250912E-03         4.9159396541E-03          
2021-01-03                05:57:35.737              2.24833030                53.959927                 3.24833030                1609653455.738            0                         963                       1.3999602274E+02          4.4999320984E+01          3.4500000000E+01          4.5135124207E+01          4.4998313904E+01          3.0000000000E+00          0.0000000000E+00          2.5084764573E+04          1.0000000000E+00          1.9282428513E+00          1.9309983882E+00          4.1688489375E+02          4.1761290368E+02          1.1160719638E-01          1.4404499597E-01          -9.9606400114E-03         -1.7947250912E-03         4.9059396541E-03          
