DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              wlm1_offset               wlm2_offset               wlm4_offset               
2021-01-03                20:58:51.891              2.87421170                68.981081                 3.87421170                1609707531.891            0                         963                       1.4000922685E+02          4.5000572205E+01          3.4625000000E+01          4.5138786316E+01          4.5000205994E+01          2.0000000000E+00          0.0000000000E+00          2.5100992116E+04          1.0000000000E+00          1.8548649843E+00          1.8575753795E+00          4.0961410983E+02          4.1038138405E+02          1.2040914162E-01          1.5536093097E-01          -1.0174666732E-02         -1.8158675338E-03         4.7937316686E-03          
2021-01-03                20:58:52.809              2.87422234                68.981336                 3.87422234                1609707532.810            0                         963                       1.3999090408E+02          4.5000572205E+01          3.4625000000E+01          4.5138786316E+01          4.5000205994E+01          1.0000000000E+00          0.0000000000E+00          2.5095252957E+04          1.0000000000E+00          1.8548649843E+00          1.8575753795E+00          4.0962287301E+02          4.1038138405E+02          1.2040914162E-01          1.5536093097E-01          -1.0184666732E-02         -1.8158675338E-03         4.7937316686E-03          
2021-01-03                20:58:53.316              2.87422821                68.981477                 3.87422821                1609707533.317            0                         963                       1.3998986816E+02          4.5000572205E+01          3.4625000000E+01          4.5138786316E+01          4.5000205994E+01          3.0000000000E+00          0.0000000000E+00          2.5094871094E+04          1.0000000000E+00          1.8548649843E+00          1.8577078133E+00          4.0962287301E+02          4.1039005752E+02          1.2023114143E-01          1.5513215437E-01          -1.0184666732E-02         -1.8158675338E-03         4.8037316686E-03          
2021-01-03                20:58:54.750              2.87424479                68.981875                 3.87424479                1609707534.750            0                         963                       1.4001273717E+02          4.5000393892E+01          3.4687500000E+01          4.5138608004E+01          4.5000027682E+01          2.0000000000E+00          0.0000000000E+00          2.5102924299E+04          1.0000000000E+00          1.8548010141E+00          1.8577078133E+00          4.0962287301E+02          4.1039005752E+02          1.2023114143E-01          1.5513215437E-01          -1.0180878670E-02         -1.8221649144E-03         4.8037316686E-03          
2021-01-03                20:58:55.671              2.87425545                68.982131                 3.87425545                1609707535.671            0                         963                       1.4001219042E+02          4.5000297546E+01          3.4658494475E+01          4.5138511658E+01          4.4999931335E+01          1.0000000000E+00          0.0000000000E+00          2.5104703718E+04          1.0000000000E+00          1.8548010141E+00          1.8577078133E+00          4.0963410323E+02          4.1039005752E+02          1.2023114143E-01          1.5513215437E-01          -1.0170878670E-02         -1.8221649144E-03         4.8037316686E-03          
2021-01-03                20:58:56.180              2.87426135                68.982272                 3.87426135                1609707536.181            0                         963                       1.4000993347E+02          4.5000297546E+01          3.4625000000E+01          4.5138511658E+01          4.4999931335E+01          3.0000000000E+00          0.0000000000E+00          2.5104986328E+04          1.0000000000E+00          1.8548010141E+00          1.8576401242E+00          4.0963410323E+02          4.1040033153E+02          1.2010305482E-01          1.5496752810E-01          -1.0170878670E-02         -1.8221649144E-03         4.8037316686E-03          
2021-01-03                20:58:57.592              2.87427769                68.982664                 3.87427769                1609707537.592            0                         963                       1.3998950252E+02          4.5000297546E+01          3.4639219577E+01          4.5138511658E+01          4.4999931335E+01          2.0000000000E+00          0.0000000000E+00          2.5096944982E+04          1.0000000000E+00          1.8547372905E+00          1.8576401242E+00          4.0963410323E+02          4.1040033153E+02          1.2010305482E-01          1.5496752810E-01          -1.0160878670E-02         -1.8121649144E-03         4.8037316686E-03          
2021-01-03                20:58:58.496              2.87428815                68.982916                 3.87428815                1609707538.496            0                         963                       1.3999901926E+02          4.5000297546E+01          3.4660614525E+01          4.5138511658E+01          4.4999931335E+01          1.0000000000E+00          0.0000000000E+00          2.5098287306E+04          1.0000000000E+00          1.8547372905E+00          1.8576401242E+00          4.0969280390E+02          4.1040033153E+02          1.2010305482E-01          1.5496752810E-01          -1.0162821527E-02         -1.8121649144E-03         4.8037316686E-03          
2021-01-03                20:58:58.996              2.87429395                68.983055                 3.87429395                1609707538.997            0                         963                       1.4000660706E+02          4.5000297546E+01          3.4687500000E+01          4.5138511658E+01          4.4999931335E+01          3.0000000000E+00          0.0000000000E+00          2.5099888672E+04          1.0000000000E+00          1.8547372905E+00          1.8575646401E+00          4.0969280390E+02          4.1045599376E+02          1.1924521113E-01          1.5386492970E-01          -1.0162821527E-02         -1.8121649144E-03         4.8037316686E-03          
2021-01-03                20:59:00.415              2.87431037                68.983449                 3.87431037                1609707540.416            0                         963                       1.4001069068E+02          4.5000297546E+01          3.4669973545E+01          4.5138251693E+01          4.4999801353E+01          2.0000000000E+00          0.0000000000E+00          2.5104850167E+04          1.0000000000E+00          1.8548481811E+00          1.8575646401E+00          4.0969280390E+02          4.1045599376E+02          1.1924521113E-01          1.5386492970E-01          -1.0152821527E-02         -1.8199897933E-03         4.8037316686E-03          
2021-01-03                20:59:01.329              2.87432095                68.983703                 3.87432095                1609707541.330            0                         963                       1.3999320259E+02          4.5000297546E+01          3.4625000000E+01          4.5138206482E+01          4.4999778748E+01          1.0000000000E+00          0.0000000000E+00          2.5102641989E+04          1.0000000000E+00          1.8548481811E+00          1.8575646401E+00          4.0968716521E+02          4.1045599376E+02          1.1924521113E-01          1.5386492970E-01          -1.0146733230E-02         -1.8199897933E-03         4.8037316686E-03          
2021-01-03                20:59:01.836              2.87432682                68.983844                 3.87432682                1609707541.837            0                         963                       1.3998405457E+02          4.5000297546E+01          3.4625000000E+01          4.5138206482E+01          4.4999778748E+01          3.0000000000E+00          0.0000000000E+00          2.5099199219E+04          1.0000000000E+00          1.8548481811E+00          1.8576764983E+00          4.0968716521E+02          4.1045056012E+02          1.2017056142E-01          1.5505429269E-01          -1.0146733230E-02         -1.8199897933E-03         4.7937316686E-03          
2021-01-03                20:59:03.267              2.87434338                68.984241                 3.87434338                1609707543.268            0                         963                       1.3998646290E+02          4.5000297546E+01          3.4625000000E+01          4.5138206482E+01          4.4999778748E+01          2.0000000000E+00          0.0000000000E+00          2.5094312265E+04          1.0000000000E+00          1.8546519610E+00          1.8576764983E+00          4.0968716521E+02          4.1045056012E+02          1.2017056142E-01          1.5505429269E-01          -1.0156733230E-02         -1.8299897933E-03         4.7937316686E-03          
2021-01-03                20:59:04.193              2.87435409                68.984498                 3.87435409                1609707544.193            0                         963                       1.3999771852E+02          4.5000297884E+01          3.4625000000E+01          4.5138202773E+01          4.4999775038E+01          1.0000000000E+00          0.0000000000E+00          2.5095712243E+04          1.0000000000E+00          1.8546519610E+00          1.8576764983E+00          4.0966209258E+02          4.1045056012E+02          1.2017056142E-01          1.5505429269E-01          -1.0166733230E-02         -1.8299897933E-03         4.7937316686E-03          
2021-01-03                20:59:04.707              2.87436005                68.984641                 3.87436005                1609707544.708            0                         963                       1.4001498413E+02          4.5000328064E+01          3.4625000000E+01          4.5137870789E+01          4.4999443054E+01          3.0000000000E+00          0.0000000000E+00          2.5103052734E+04          1.0000000000E+00          1.8546519610E+00          1.8574835346E+00          4.0966209258E+02          4.1042640052E+02          1.1954579676E-01          1.5425128351E-01          -1.0166733230E-02         -1.8299897933E-03         4.7837316686E-03          
2021-01-03                20:59:06.140              2.87437662                68.985039                 3.87437662                1609707546.140            0                         963                       1.4000541168E+02          4.5000328064E+01          3.4625000000E+01          4.5137870789E+01          4.4999443054E+01          2.0000000000E+00          0.0000000000E+00          2.5103086050E+04          1.0000000000E+00          1.8546079501E+00          1.8574835346E+00          4.0966209258E+02          4.1042640052E+02          1.1954579676E-01          1.5425128351E-01          -1.0176733230E-02         -1.8199897933E-03         4.7837316686E-03          
2021-01-03                20:59:07.063              2.87438731                68.985296                 3.87438731                1609707547.064            0                         963                       1.3998674677E+02          4.5000328064E+01          3.4625000000E+01          4.5137870789E+01          4.4999443054E+01          1.0000000000E+00          0.0000000000E+00          2.5096448496E+04          1.0000000000E+00          1.8546079501E+00          1.8574835346E+00          4.0961163102E+02          4.1042640052E+02          1.1954579676E-01          1.5425128351E-01          -1.0186733230E-02         -1.8199897933E-03         4.7837316686E-03          
2021-01-03                20:59:07.571              2.87439318                68.985436                 3.87439318                1609707547.571            0                         963                       1.3998176575E+02          4.5000328064E+01          3.4625000000E+01          4.5137870789E+01          4.4999443054E+01          3.0000000000E+00          0.0000000000E+00          2.5094625000E+04          1.0000000000E+00          1.8546079501E+00          1.8574134491E+00          4.0961163102E+02          4.1036882539E+02          1.1797183397E-01          1.5222812801E-01          -1.0186733230E-02         -1.8199897933E-03         4.7837316686E-03          
