DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              wlm1_offset               wlm2_offset               wlm4_offset               
2021-01-03                03:57:15.125              2.16475839                51.954201                 3.16475839                1609646235.125            0                         963                       1.3999996948E+02          4.5001335144E+01          3.4625000000E+01          4.5139518738E+01          4.5002677917E+01          3.0000000000E+00          0.0000000000E+00          2.5091148438E+04          1.0000000000E+00          1.9159218785E+00          1.9188753676E+00          4.1570091675E+02          4.1648401418E+02          1.2021444683E-01          1.5511069733E-01          -9.9321532631E-03         -1.8050280076E-03         4.9092174120E-03          
2021-01-03                03:57:16.556              2.16477497                51.954599                 3.16477497                1609646236.557            0                         963                       1.4000192077E+02          4.5001335144E+01          3.4687500000E+01          4.5139518738E+01          4.5002677917E+01          2.0000000000E+00          0.0000000000E+00          2.5091750429E+04          1.0000000000E+00          1.9161709072E+00          1.9188753676E+00          4.1570091675E+02          4.1648401418E+02          1.2021444683E-01          1.5511069733E-01          -9.9270882342E-03         -1.7950280076E-03         4.9092174120E-03          
2021-01-03                03:57:17.470              2.16478554                51.954853                 3.16478554                1609646237.471            0                         963                       1.3999793770E+02          4.5001335144E+01          3.4687500000E+01          4.5139518738E+01          4.5002677917E+01          1.0000000000E+00          0.0000000000E+00          2.5090456146E+04          1.0000000000E+00          1.9161709072E+00          1.9188753676E+00          4.1584004900E+02          4.1648401418E+02          1.2021444683E-01          1.5511069733E-01          -9.9334353799E-03         -1.7950280076E-03         4.9092174120E-03          
2021-01-03                03:57:17.979              2.16479142                51.954994                 3.16479142                1609646237.979            0                         963                       1.3999525452E+02          4.5001335144E+01          3.4687500000E+01          4.5139518738E+01          4.5002677917E+01          3.0000000000E+00          0.0000000000E+00          2.5089470703E+04          1.0000000000E+00          1.9161709072E+00          1.9191119734E+00          4.1584004900E+02          4.1662001213E+02          1.2077586254E-01          1.5583225459E-01          -9.9334353799E-03         -1.7950280076E-03         4.8992174120E-03          
2021-01-03                03:57:19.398              2.16480785                51.955388                 3.16480785                1609646239.398            0                         963                       1.4000285921E+02          4.5001363724E+01          3.4687500000E+01          4.5139537791E+01          4.5002811291E+01          2.0000000000E+00          0.0000000000E+00          2.5091819703E+04          1.0000000000E+00          1.9160448659E+00          1.9191119734E+00          4.1584004900E+02          4.1662001213E+02          1.2077586254E-01          1.5583225459E-01          -9.9368980182E-03         -1.7865252280E-03         4.8992174120E-03          
2021-01-03                03:57:20.312              2.16481844                51.955642                 3.16481844                1609646240.313            0                         963                       1.4000247542E+02          4.5001426697E+01          3.4687500000E+01          4.5139579773E+01          4.5003105164E+01          1.0000000000E+00          0.0000000000E+00          2.5092279624E+04          1.0000000000E+00          1.9160448659E+00          1.9191119734E+00          4.1593611619E+02          4.1662001213E+02          1.2077586254E-01          1.5583225459E-01          -9.9468980182E-03         -1.7865252280E-03         4.8992174120E-03          
2021-01-03                03:57:20.815              2.16482426                51.955782                 3.16482426                1609646240.816            0                         963                       1.4000073242E+02          4.5001426697E+01          3.4687500000E+01          4.5139579773E+01          4.5003105164E+01          3.0000000000E+00          0.0000000000E+00          2.5091863281E+04          1.0000000000E+00          1.9160448659E+00          1.9189852553E+00          4.1593611619E+02          4.1671613129E+02          1.2017489727E-01          1.5505986543E-01          -9.9468980182E-03         -1.7865252280E-03         4.9092174120E-03          
2021-01-03                03:57:22.237              2.16484072                51.956177                 3.16484072                1609646242.238            0                         963                       1.4000045776E+02          4.5001426697E+01          3.4687500000E+01          4.5139579773E+01          4.5003105164E+01          2.0000000000E+00          0.0000000000E+00          2.5092087891E+04          1.0000000000E+00          1.9160619176E+00          1.9189852553E+00          4.1593611619E+02          4.1671613129E+02          1.2017489727E-01          1.5505986543E-01          -9.9372521919E-03         -1.7765252280E-03         4.9092174120E-03          
2021-01-03                03:57:23.144              2.16485120                51.956429                 3.16485120                1609646243.144            0                         963                       1.3999699027E+02          4.5001426697E+01          3.4687500000E+01          4.5139579773E+01          4.5003105164E+01          1.0000000000E+00          0.0000000000E+00          2.5090879932E+04          1.0000000000E+00          1.9160619176E+00          1.9189852553E+00          4.1599123851E+02          4.1671613129E+02          1.2017489727E-01          1.5505986543E-01          -9.9410380169E-03         -1.7765252280E-03         4.9092174120E-03          
2021-01-03                03:57:23.644              2.16485700                51.956568                 3.16485700                1609646243.645            0                         963                       1.3999629211E+02          4.5001426697E+01          3.4687500000E+01          4.5139579773E+01          4.5003105164E+01          3.0000000000E+00          0.0000000000E+00          2.5090636719E+04          1.0000000000E+00          1.9160619176E+00          1.9190041660E+00          4.1599123851E+02          4.1677184325E+02          1.2092584452E-01          1.5602501390E-01          -9.9410380169E-03         -1.7765252280E-03         4.9192174120E-03          
