DATE_TIME,12CO2_m,12CO2_dry_m,13CO2_m,HP_12CH4_m,HP_12CH4_dry_m,HP_13CH4_m,HR_12CH4_m,HR_12CH4_dry_m,HR_13CH4_m,H2O_m,12CO2_sd,12CO2_dry_sd,13CO2_sd,HP_12CH4_sd,HP_12CH4_dry_sd,HP_13CH4_sd,HR_12CH4_sd,HR_12CH4_dry_sd,HR_13CH4_sd,H2O_sd
2020-03-30 17:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-30 18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-30 19:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-30 20:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-30 21:00:00,415.04599294441385,416.6442139046094,4.67838912717573,1.8707722764503634,1.8757417993998406,0.020561217184844095,1.8572980681015312,1.863761730630868,0.020407749467358457,0.2210725521867078,0.6868420771682342,0.6410461153298251,0.03520606412470639,0.010210790606548677,0.010084103230578156,0.0005833113526075604,0.02551475153475275,0.025518713466717056,0.0005267901488204255,0.009103143868238968
2020-03-30 22:00:00,418.98680162864457,420.45015828792543,4.700811274593929,1.9586546276112777,1.963370514887702,0.02137443531615211,1.948653210298762,1.9547978539315276,0.02119218116355702,0.20067639412256613,1.001017452768402,0.9635236441781493,0.01803128095393033,0.04818443457220371,0.04815768692269969,0.0007718420280190022,0.05738732452148335,0.0574005885550231,0.0007149453133528613,0.0080492506686052
2020-03-30 23:00:00,427.38491040908207,428.7548438630425,4.76606454281242,2.130562600707478,2.1352709612776937,0.023115170924525266,2.1299885227730457,2.1361516894798678,0.022907512035429473,0.18432723891057912,4.095264739506908,4.074860253941182,0.04227166377818185,0.054889954329020885,0.05489744955876383,0.0007999799042115128,0.06519274892497116,0.06525297728486555,0.0007755480667145703,0.006435514897665574
2020-03-31 00:00:00,431.1141469436464,432.3923899206071,4.811131419831967,2.0794942652247963,2.0837498491507,0.022540748807077318,2.0821877929494024,2.0877659375207043,0.022345381348566618,0.17052373127247714,3.9225480325854836,3.958423330135723,0.039782917661301306,0.08916837509002681,0.08943455445642202,0.001248696084542861,0.09651245500291757,0.09687319365168191,0.0012058602325451826,0.0055029142800291685
2020-03-31 01:00:00,424.7798311175983,425.9550911475462,4.753242243846606,1.9199462243043082,1.9236113158451253,0.02084205839666914,1.9200817126156764,1.9248791901632911,0.0206382569502058,0.15922508402253566,1.5004937413422896,1.4848341003180396,0.020760855225937055,0.012355394968764007,0.01241353439159314,0.0006082594712147322,0.04225543546632388,0.04237853930628563,0.0005870708437547294,0.004913992175804885
2020-03-31 02:00:00,432.50559067688044,433.6294053824366,4.8479098173198025,1.9210673891069785,1.924511137711692,0.02086329856830346,1.915023303211175,1.9195159974237799,0.020667472325668818,0.14959724102894859,2.3266054048063785,2.3120233493637503,0.030295686999541046,0.011731123882024701,0.011711644259014683,0.0005564369099274578,0.03996840948846083,0.04004647951398855,0.000546345589933049,0.004621946138851222
2020-03-31 03:00:00,435.822511607556,436.8907601740345,4.88561667128707,1.9793184118900737,1.9826648313095256,0.02154545368352491,1.9755137728172316,1.9798842130456644,0.021351358937915357,0.1411510656310373,0.46262291610882295,0.46793404595278165,0.010389571655494815,0.01459880418184441,0.014585604963529751,0.0004914462904427191,0.0405343258068649,0.040603150354245526,0.00048322820331991634,0.004354495702333519
2020-03-31 04:00:00,438.96804511130597,439.9820594744069,4.911587055932407,1.9526670229085155,1.9557790537004711,0.021314385416682645,1.9436238811056037,1.94767692165431,0.021125499239474876,0.13307579912693643,1.704398119353939,1.6885960971331975,0.018046260369986,0.006849601080222686,0.006898073623547831,0.0005110285690579531,0.03634917241861538,0.03643672475395495,0.0004889235900544657,0.00417818682091011
2020-03-31 05:00:00,442.4325229129861,443.3964676742293,4.944505123410573,1.9913372968501852,1.9943294894419226,0.021748835716912492,1.9870642557142382,1.9909705351277032,0.021565617172405967,0.12553640127104332,1.1301825266474876,1.1453565545658464,0.015830889755737772,0.019378996753931028,0.019356793599261048,0.0005708923988953186,0.036843443935882084,0.03688138454856578,0.0005494932894862664,0.003830869716592509
2020-03-31 06:00:00,445.8847354290559,446.805424239182,4.982722281335832,2.0018107376059477,2.0046622284231153,0.021879280208228744,1.9989519258156732,2.002677046727649,0.021719423719573586,0.11901502809725334,2.0100405806404917,1.9994376351022587,0.024649887030782056,0.006611450865145874,0.006651952400953243,0.0004947481741930759,0.029910105748019434,0.0299799588195367,0.0004682004323475446,0.003402181359864728
2020-03-31 07:00:00,445.71144841546527,446.58086518276826,4.9872836136642,2.015054316477174,2.0177654914002434,0.021961602617131173,2.0078729468852234,2.0114067194783236,0.02182892447925954,0.11244729300470052,2.1253345645338544,2.138513634091674,0.02341381021350488,0.006430410453669811,0.006455843440274668,0.0004607717857023931,0.02666298638872135,0.02671605223217086,0.0004320574020435384,0.0029211846741783857
2020-03-31 08:00:00,431.64272119392257,432.4463650436357,4.8342870811872,1.9841718829102184,1.9867197084786195,0.02156805923960495,1.9759282024940876,1.9792471104409588,0.021461995801681438,0.10733095033820438,5.131879543216683,5.150371020686498,0.05660123302175626,0.009892318589345852,0.00992781733197677,0.00043084739118108263,0.026456476938953366,0.026514351146334564,0.0004024029853745232,0.002651096656841557
