DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              wlm1_offset               wlm2_offset               wlm4_offset               
2021-01-04                14:00:28.331              3.58366124                86.007870                 4.58366124                1609768828.331            0                         963                       1.4001580811E+02          4.5000419617E+01          3.4875000000E+01          4.5138816833E+01          4.5002342224E+01          1.0000000000E+00          0.0000000000E+00          2.5109664062E+04          1.0000000000E+00          1.9044286362E+00          1.9070891841E+00          4.0909582520E+02          4.1004362357E+02          1.2120610140E-01          1.5638519967E-01          -1.0327145916E-02         -1.8615844675E-03         4.6521788031E-03          
2021-01-04                14:00:28.835              3.58366707                86.008010                 4.58366707                1609768828.835            0                         963                       1.4001514259E+02          4.5000419617E+01          3.4875000000E+01          4.5138816833E+01          4.5002342224E+01          3.0000000000E+00          0.0000000000E+00          2.5112088717E+04          1.0000000000E+00          1.9044286362E+00          1.9073510189E+00          4.0909582520E+02          4.0986296524E+02          1.1972985073E-01          1.5448785120E-01          -1.0327145916E-02         -1.8615844675E-03         4.6621788031E-03          
2021-01-04                14:00:30.256              3.58368353                86.008405                 4.58368353                1609768830.257            0                         963                       1.4000806950E+02          4.5000263354E+01          3.4875000000E+01          4.5139155403E+01          4.5002446399E+01          2.0000000000E+00          0.0000000000E+00          2.5112742689E+04          1.0000000000E+00          1.9041036407E+00          1.9073510189E+00          4.0909582520E+02          4.0986296524E+02          1.1972985073E-01          1.5448785120E-01          -1.0317145916E-02         -1.8564146998E-03         4.6621788031E-03          
2021-01-04                14:00:31.177              3.58369418                86.008660                 4.58369418                1609768831.177            0                         963                       1.3999990836E+02          4.5000236511E+01          3.4875000000E+01          4.5139213562E+01          4.5002464294E+01          1.0000000000E+00          0.0000000000E+00          2.5110895211E+04          1.0000000000E+00          1.9041036407E+00          1.9073510189E+00          4.0900002293E+02          4.0986296524E+02          1.1972985073E-01          1.5448785120E-01          -1.0316754296E-02         -1.8564146998E-03         4.6621788031E-03          
2021-01-04                14:00:31.684              3.58370005                86.008801                 4.58370005                1609768831.684            0                         963                       1.3999229431E+02          4.5000236511E+01          3.4875000000E+01          4.5139213562E+01          4.5002464294E+01          3.0000000000E+00          0.0000000000E+00          2.5108185547E+04          1.0000000000E+00          1.9041036407E+00          1.9070103311E+00          4.0900002293E+02          4.0976299508E+02          1.1995495181E-01          1.5477717360E-01          -1.0316754296E-02         -1.8564146998E-03         4.6521788031E-03          
2021-01-04                14:00:33.111              3.58371657                86.009198                 4.58371657                1609768833.112            0                         963                       1.3999191947E+02          4.5000236511E+01          3.4899214660E+01          4.5139213562E+01          4.5002464294E+01          2.0000000000E+00          0.0000000000E+00          2.5105405227E+04          1.0000000000E+00          1.9037673561E+00          1.9070103311E+00          4.0900002293E+02          4.0976299508E+02          1.1995495181E-01          1.5477717360E-01          -1.0306754296E-02         -1.8464146998E-03         4.6521788031E-03          
2021-01-04                14:00:34.028              3.58372718                86.009452                 4.58372718                1609768834.028            0                         963                       1.3998699639E+02          4.5000236511E+01          3.4937500000E+01          4.5139213562E+01          4.5002464294E+01          1.0000000000E+00          0.0000000000E+00          2.5101477145E+04          1.0000000000E+00          1.9037673561E+00          1.9070103311E+00          4.0909673065E+02          4.0976299508E+02          1.1995495181E-01          1.5477717360E-01          -1.0316754296E-02         -1.8464146998E-03         4.6521788031E-03          
2021-01-04                14:00:34.533              3.58373303                86.009593                 4.58373303                1609768834.534            0                         963                       1.3998869324E+02          4.5000236511E+01          3.4937500000E+01          4.5139213562E+01          4.5002464294E+01          3.0000000000E+00          0.0000000000E+00          2.5100980469E+04          1.0000000000E+00          1.9037673561E+00          1.9066811850E+00          4.0909673065E+02          4.0986189259E+02          1.2036005635E-01          1.5529784389E-01          -1.0316754296E-02         -1.8464146998E-03         4.6521788031E-03          
2021-01-04                14:00:35.948              3.58374941                86.009986                 4.58374941                1609768835.949            0                         963                       1.4001165771E+02          4.5000663757E+01          3.4937500000E+01          4.5139396667E+01          4.5002586365E+01          2.0000000000E+00          0.0000000000E+00          2.5108003906E+04          1.0000000000E+00          1.9037670193E+00          1.9066811850E+00          4.0909673065E+02          4.0986189259E+02          1.2036005635E-01          1.5529784389E-01          -1.0326754296E-02         -1.8425936376E-03         4.6521788031E-03          
2021-01-04                14:00:36.854              3.58375988                86.010237                 4.58375988                1609768836.854            0                         963                       1.4000698904E+02          4.5000663757E+01          3.4937500000E+01          4.5139396667E+01          4.5002586365E+01          1.0000000000E+00          0.0000000000E+00          2.5109618824E+04          1.0000000000E+00          1.9037670193E+00          1.9066811850E+00          4.0929173781E+02          4.0986189259E+02          1.2036005635E-01          1.5529784389E-01          -1.0336754296E-02         -1.8425936376E-03         4.6521788031E-03          
