DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              wlm1_offset               wlm2_offset               wlm4_offset               
2021-01-04                01:59:19.250              3.08286170                73.988681                 4.08286170                1609725559.251            0                         963                       1.3999885559E+02          4.4999748230E+01          3.4562500000E+01          4.5136924744E+01          4.5000358582E+01          3.0000000000E+00          0.0000000000E+00          2.5085730469E+04          1.0000000000E+00          1.9516702047E+00          1.9546105063E+00          4.1289536788E+02          4.1365552350E+02          1.1808600746E-01          1.5237489234E-01          -1.0201902426E-02         -1.8197118250E-03         4.8190733513E-03          
2021-01-04                01:59:20.671              3.08287815                73.989076                 4.08287815                1609725560.672            0                         963                       1.4000089155E+02          4.5000083923E+01          3.4551256614E+01          4.5137290955E+01          4.5000633240E+01          2.0000000000E+00          0.0000000000E+00          2.5086813275E+04          1.0000000000E+00          1.9515662349E+00          1.9546105063E+00          4.1289536788E+02          4.1365552350E+02          1.1808600746E-01          1.5237489234E-01          -1.0205060397E-02         -1.8297118250E-03         4.8190733513E-03          
2021-01-04                01:59:21.582              3.08288868                73.989328                 4.08288868                1609725561.582            0                         963                       1.4000010681E+02          4.5000083923E+01          3.4500000000E+01          4.5137290955E+01          4.5000633240E+01          1.0000000000E+00          0.0000000000E+00          2.5087427734E+04          1.0000000000E+00          1.9515662349E+00          1.9546105063E+00          4.1288967433E+02          4.1365552350E+02          1.1808600746E-01          1.5237489234E-01          -1.0197532142E-02         -1.8297118250E-03         4.8190733513E-03          
2021-01-04                01:59:22.082              3.08289448                73.989467                 4.08289448                1609725562.083            0                         963                       1.3999811847E+02          4.5000083923E+01          3.4526442308E+01          4.5137290955E+01          4.5000633240E+01          3.0000000000E+00          0.0000000000E+00          2.5086522912E+04          1.0000000000E+00          1.9515662349E+00          1.9545012532E+00          4.1288967433E+02          4.1364849400E+02          1.1805356462E-01          1.5233318880E-01          -1.0197532142E-02         -1.8297118250E-03         4.8290733513E-03          
2021-01-04                01:59:23.516              3.08291106                73.989866                 4.08291106                1609725563.516            0                         963                       1.3999907281E+02          4.5000083923E+01          3.4562500000E+01          4.5137290955E+01          4.5000633240E+01          2.0000000000E+00          0.0000000000E+00          2.5086726327E+04          1.0000000000E+00          1.9510920260E+00          1.9545012532E+00          4.1288967433E+02          4.1364849400E+02          1.1805356462E-01          1.5233318880E-01          -1.0207532142E-02         -1.8197118250E-03         4.8290733513E-03          
2021-01-04                01:59:24.436              3.08292171                73.990121                 4.08292171                1609725564.436            0                         963                       1.3999923504E+02          4.5000075830E+01          3.4562500000E+01          4.5137297699E+01          4.5000642682E+01          1.0000000000E+00          0.0000000000E+00          2.5086735379E+04          1.0000000000E+00          1.9510920260E+00          1.9545012532E+00          4.1291190111E+02          4.1364849400E+02          1.1805356462E-01          1.5233318880E-01          -1.0217532142E-02         -1.8197118250E-03         4.8290733513E-03          
2021-01-04                01:59:24.943              3.08292758                73.990262                 4.08292758                1609725564.943            0                         963                       1.3999775696E+02          4.4999900818E+01          3.4562500000E+01          4.5137443542E+01          4.5000846863E+01          3.0000000000E+00          0.0000000000E+00          2.5085982422E+04          1.0000000000E+00          1.9510920260E+00          1.9540296422E+00          4.1291190111E+02          4.1367161794E+02          1.1835209970E-01          1.5271693645E-01          -1.0217532142E-02         -1.8197118250E-03         4.8190733513E-03          
2021-01-04                01:59:26.372              3.08294413                73.990659                 4.08294413                1609725566.373            0                         963                       1.3999927301E+02          4.4999900818E+01          3.4562500000E+01          4.5137443542E+01          4.5000846863E+01          2.0000000000E+00          0.0000000000E+00          2.5086389858E+04          1.0000000000E+00          1.9511998072E+00          1.9540296422E+00          4.1291190111E+02          4.1367161794E+02          1.1835209970E-01          1.5271693645E-01          -1.0227532142E-02         -1.8097118250E-03         4.8190733513E-03          
2021-01-04                01:59:27.286              3.08295471                73.990913                 4.08295471                1609725567.287            0                         963                       1.3999850025E+02          4.4999900818E+01          3.4562500000E+01          4.5137443542E+01          4.5000846863E+01          1.0000000000E+00          0.0000000000E+00          2.5085899722E+04          1.0000000000E+00          1.9511998072E+00          1.9540296422E+00          4.1292927916E+02          4.1367161794E+02          1.1835209970E-01          1.5271693645E-01          -1.0217532142E-02         -1.8097118250E-03         4.8190733513E-03          
2021-01-04                01:59:27.792              3.08296056                73.991053                 4.08296056                1609725567.792            0                         963                       1.3999830627E+02          4.4999900818E+01          3.4562500000E+01          4.5137443542E+01          4.5000846863E+01          3.0000000000E+00          0.0000000000E+00          2.5085767578E+04          1.0000000000E+00          1.9511998072E+00          1.9541391399E+00          4.1292927916E+02          4.1368942990E+02          1.1817845801E-01          1.5249373212E-01          -1.0217532142E-02         -1.8097118250E-03         4.8290733513E-03          
